problem,m,N,method,repetitions,mean_estimate,benchmark_probability,bias,abs_bias,sample_variance,sample_sd,rmse,variance_ratio_to_naive,classifier_accuracy_mean,classifier_error_mean
lotka,5,250,POF_PPSVMG,30,0.014639641134900017,0.015973572007985302,-0.0013339308730852852,0.0013339308730852852,5.304319499186644e-07,0.0007283075929294329,0.0015198037781531983,0.007080130191847408,0.6375333333333334,0.3624666666666666
lotka,5,250,Random_MLP,30,0.01592992520969926,0.015973572007985302,-4.364679828604279e-05,4.364679828604279e-05,4.349986476252686e-06,0.0020856621193886334,0.0020861187692107343,0.05806300052130561,0.6440733333333333,0.3559266666666667
lotka,5,250,Random_PPSVMG,30,0.01728781201884583,0.015973572007985302,0.001314240010860529,0.001314240010860529,3.652484695973692e-07,0.0006043578985976515,0.001446539068170664,0.004875284600633367,0.64298,0.35702
lotka,5,300,Naive,30,0.017934265819361545,0.015973572007985302,0.0019606938113762434,0.0019606938113762434,4.909323831356249e-05,0.00700665671440827,0.007275820128035849,1.0,,
lotka,5,300,POF_MLP,30,0.012960044518422727,0.015973572007985302,-0.0030135274895625747,0.0030135274895625747,3.155254805625782e-06,0.0017763036918347554,0.003498085581568166,0.06427065954527003,0.6545133333333334,0.3454866666666666
lotka,5,300,POF_PPSVMG,30,0.014632425017891887,0.015973572007985302,-0.001341146990093415,0.001341146990093415,5.35999396449205e-07,0.0007321197965150274,0.0015279642160357784,0.01091798819678045,0.6482333333333333,0.35176666666666667
lotka,5,300,Random_MLP,30,0.01594001587399232,0.015973572007985302,-3.3556133992980464e-05,3.3556133992980464e-05,8.134601848668005e-06,0.002852122341111616,0.0028523197336197356,0.1656969906265226,0.6634399999999999,0.3365600000000001
lotka,5,300,Random_PPSVMG,30,0.017175449574501137,0.015973572007985302,0.0012018775665158347,0.0012018775665158347,4.6468264212788456e-07,0.0006816763470503319,0.0013817352593828926,0.009465308423125785,0.6465933333333334,0.35340666666666665
lotka,5,400,Naive,30,0.01739815638042607,0.015973572007985302,0.0014245843724407688,0.0014245843724407688,3.0127961616341173e-05,0.005488894389250095,0.005670749707978975,1.0,,
lotka,5,400,POF_MLP,30,0.013401388003767337,0.015973572007985302,-0.0025721840042179644,0.0025721840042179644,4.590133821024737e-06,0.00214245975948785,0.003347575894969298,0.15235460929872813,0.6846800000000001,0.31531999999999993
lotka,5,400,POF_PPSVMG,30,0.014657042731936612,0.015973572007985302,-0.0013165292760486894,0.0013165292760486894,3.210769093240859e-07,0.000566636487815677,0.0014332921000331273,0.01065710695641408,0.6550600000000001,0.3449399999999999
lotka,5,400,Random_MLP,30,0.016914733395278773,0.015973572007985302,0.000941161387293471,0.000941161387293471,6.792692300516848e-06,0.0026062793980148884,0.002771006506208352,0.22546139652649266,0.6763666666666667,0.32363333333333333
lotka,5,400,Random_PPSVMG,30,0.017074531215632165,0.015973572007985302,0.0011009592076468636,0.0011009592076468636,3.9132861768152695e-07,0.0006255626408934016,0.0012662700322537595,0.01298888463364456,0.66082,0.33918000000000004
lotka,5,600,Naive,30,0.014751661282093579,0.015973572007985302,-0.0012219107258917231,0.0012219107258917231,1.815071251111087e-05,0.004260365302542831,0.004432130225203238,1.0,,
lotka,5,600,POF_MLP,30,0.014076223750171615,0.015973572007985302,-0.0018973482578136872,0.0018973482578136872,2.246695637943434e-06,0.001498898141283601,0.002417979745442891,0.12378002442428253,0.7324733333333333,0.2675266666666667
lotka,5,600,POF_PPSVMG,30,0.014600807893030096,0.015973572007985302,-0.0013727641149552054,0.0013727641149552054,3.291580000756413e-07,0.0005737229297105366,0.0014878304054509672,0.018134715090338677,0.6691400000000001,0.33085999999999993
lotka,5,600,Random_MLP,30,0.018343930526116648,0.015973572007985302,0.0023703585181313463,0.0023703585181313463,2.5985523164378324e-06,0.0016120025795382067,0.002866557486065065,0.143165306312198,0.7243200000000001,0.2756799999999999
lotka,5,600,Random_PPSVMG,30,0.016945375316140574,0.015973572007985302,0.0009718033081552724,0.0009718033081552724,2.4241103440940756e-07,0.0004923525509321623,0.0010894093372791234,0.013355455564679174,0.6660799999999999,0.3339200000000001
