N,m,repetition,nn_probability_estimate,two_stage_probability_estimate,nn_classification_error
2000,5,55,0.23042823731674986,0.2258402483495659,0.0618
2000,5,56,0.23202869894009467,0.23095978475248619,0.05732
2000,5,57,0.22877188076227883,0.24773218610541764,0.05662
2000,5,58,0.2292675605821432,0.2331772986712712,0.05814
2000,5,59,0.23037424258740452,0.25802434161091053,0.0591
2000,5,60,0.2309432379065759,0.22747521790917086,0.06144
2000,5,61,0.22962756625043584,0.211617418681332,0.05684
2000,5,62,0.23043633158476085,0.23809657248712743,0.05876
2000,5,63,0.22984041889664397,0.2162666105852231,0.05964
2000,5,64,0.23174294492394867,0.22408520622612982,0.05526
2000,5,65,0.23199205126405154,0.23303649127469125,0.05274
2000,5,66,0.23012841976909726,0.2421482207503679,0.0619
2000,5,67,0.2304346540953789,0.2321865658900311,0.05756
2000,5,68,0.23026526434356154,0.22952222195244415,0.05736
2000,5,69,0.22973019980558176,0.22158926639787085,0.05816
2000,5,70,0.23163678541288776,0.2395382208514916,0.05648
2000,5,71,0.23076191259009227,0.24212368270861082,0.05476
