,f
968,0.0001850019527526766
969,3.0113217432431546e-07
970,0.0161572197380912
971,0.45060239205084374
972,0.026051455479376387
973,1.5641579776344512
974,0.44872983462108573
975,1.0844712808971977
976,1.5225705644666458
977,0.0024838683993167543
978,0.5518769312890303
979,0.002483463928989911
980,0.8615368147154631
981,0.735758410895174
982,1.3694076825586998
983,0.01652504754241853
984,0.031979644320361975
985,0.0053076750441961576
986,0.0015050568782473772
987,0.4979957052353223
988,0.00802286432261441
989,0.09906939288490967
990,1.1375432541221417
991,1.1542894739058502
992,0.9775091254158558
993,0.0012096214492249035
994,0.09732038109485747
995,0.01973100867925238
996,0.001298157467477776
997,0.7732612388893058
998,0.01137345241291265
999,1.0825835894872607e-05
1000,0.6330516200777456
1001,0.0004645601791115289
1002,0.0354484770246024
1003,0.06468292575663594
1004,1.2426380137002488
1005,1.3009764874149303
1006,0.0008370176600720165
1007,0.05225604599721286
1008,0.6046389436646237
1009,5.284001661922885e-08
1010,0.2783147483720116
1011,0.003369112548138869
1012,0.6713397618276983
1013,0.06563772839059229
1014,0.12087163726674843
1015,0.9777533401324767
1016,0.6552588927715584
1017,1.486639400816682
1018,1.0465105940106287
1019,1.6679066085729348
